Created result directory '/tmp/benchmarks/20260405T1416-gnr-hft/wult/short'
Created statistics result directory '/tmp/benchmarks/20260405T1416-gnr-hft/wult/short/stats'
No statistics will be collected
wult: notice: C-state prewake is enabled, and this usually hides the real latency when using 'tdt' as delayed event device
Using 'tdt' (TSC deadline timer)
Setting min. launch distance to 1 ns
Stopped the 'systemd-timesyncd' NTP service
Start measuring CPU 1, collecting 1000000 datapoints, time limit is 5h
Calculating TSC rate for 10s
TSC rate is 1899.960392 MHz

Datapoints: 0, max. latency: 0.59 us, rate: 0.00 datapoints/sec
Datapoints: 5411, max. latency: 235.39 us, rate: 487.92 datapoints/sec
Datapoints: 5921, max. latency: 235.39 us, rate: 489.39 datapoints/sec
Datapoints: 6432, max. latency: 235.39 us, rate: 488.97 datapoints/sec
Datapoints: 6942, max. latency: 235.39 us, rate: 488.04 datapoints/sec
Datapoints: 7421, max. latency: 235.39 us, rate: 487.10 datapoints/sec
Datapoints: 7929, max. latency: 235.39 us, rate: 487.21 datapoints/sec
Datapoints: 8407, max. latency: 235.39 us, rate: 486.30 datapoints/sec
Datapoints: 8917, max. latency: 235.39 us, rate: 485.94 datapoints/sec
Datapoints: 9394, max. latency: 235.39 us, rate: 485.30 datapoints/sec
Datapoints: 9901, max. latency: 235.39 us, rate: 484.94 datapoints/sec
Datapoints: 10380, max. latency: 235.39 us, rate: 484.51 datapoints/sec
Datapoints: 10888, max. latency: 235.39 us, rate: 484.15 datapoints/sec
Datapoints: 11394, max. latency: 235.39 us, rate: 483.76 datapoints/sec
Datapoints: 11714, max. latency: 235.39 us, rate: 477.09 datapoints/sec
Datapoints: 12223, max. latency: 235.39 us, rate: 477.03 datapoints/sec
Datapoints: 12732, max. latency: 235.39 us, rate: 477.73 datapoints/sec
Datapoints: 13239, max. latency: 235.39 us, rate: 478.05 datapoints/sec
Datapoints: 13746, max. latency: 235.39 us, rate: 478.62 datapoints/sec
Datapoints: 14256, max. latency: 235.39 us, rate: 478.90 datapoints/sec
Datapoints: 14736, max. latency: 235.39 us, rate: 478.83 datapoints/sec
Datapoints: 15246, max. latency: 235.39 us, rate: 479.36 datapoints/sec
Datapoints: 15723, max. latency: 235.39 us, rate: 479.23 datapoints/sec
Datapoints: 16202, max. latency: 235.39 us, rate: 479.20 datapoints/sec
Datapoints: 16713, max. latency: 235.39 us, rate: 479.94 datapoints/sec
Datapoints: 17224, max. latency: 235.39 us, rate: 480.08 datapoints/sec
Datapoints: 17735, max. latency: 235.39 us, rate: 479.96 datapoints/sec
Datapoints: 18243, max. latency: 235.39 us, rate: 479.98 datapoints/sec
Datapoints: 18752, max. latency: 235.39 us, rate: 480.55 datapoints/sec
Datapoints: 19263, max. latency: 235.39 us, rate: 481.05 datapoints/sec
Datapoints: 19775, max. latency: 235.39 us, rate: 481.16 datapoints/sec
Datapoints: 20287, max. latency: 235.39 us, rate: 481.51 datapoints/sec
Datapoints: 20796, max. latency: 235.39 us, rate: 481.84 datapoints/sec
Datapoints: 21307, max. latency: 235.39 us, rate: 482.10 datapoints/sec
Datapoints: 21784, max. latency: 235.39 us, rate: 481.72 datapoints/sec
Datapoints: 22263, max. latency: 235.39 us, rate: 481.47 datapoints/sec
Datapoints: 22874, max. latency: 235.39 us, rate: 483.73 datapoints/sec
Datapoints: 23354, max. latency: 235.39 us, rate: 483.53 datapoints/sec
Datapoints: 23866, max. latency: 235.39 us, rate: 483.63 datapoints/sec
Datapoints: 24378, max. latency: 235.39 us, rate: 483.96 datapoints/sec
Datapoints: 24858, max. latency: 235.39 us, rate: 483.86 datapoints/sec
Datapoints: 25370, max. latency: 235.39 us, rate: 483.92 datapoints/sec
Datapoints: 25850, max. latency: 235.39 us, rate: 483.42 datapoints/sec
Datapoints: 26330, max. latency: 235.39 us, rate: 483.21 datapoints/sec
Datapoints: 26842, max. latency: 235.39 us, rate: 483.26 datapoints/sec
Datapoints: 27354, max. latency: 235.39 us, rate: 483.29 datapoints/sec
Datapoints: 27834, max. latency: 235.39 us, rate: 482.83 datapoints/sec
Datapoints: 28346, max. latency: 235.39 us, rate: 482.90 datapoints/sec
Datapoints: 28858, max. latency: 235.39 us, rate: 482.99 datapoints/sec
Datapoints: 29338, max. latency: 235.39 us, rate: 482.88 datapoints/sec
Datapoints: 29882, max. latency: 235.39 us, rate: 483.40 datapoints/sec
Datapoints: 30362, max. latency: 235.39 us, rate: 483.21 datapoints/sec
Datapoints: 30874, max. latency: 235.39 us, rate: 483.44 datapoints/sec
Datapoints: 31386, max. latency: 235.39 us, rate: 483.46 datapoints/sec
Datapoints: 31898, max. latency: 235.39 us, rate: 483.82 datapoints/sec
Datapoints: 32410, max. latency: 235.39 us, rate: 483.93 datapoints/sec
Datapoints: 32922, max. latency: 235.39 us, rate: 484.05 datapoints/sec
Datapoints: 33402, max. latency: 235.39 us, rate: 483.70 datapoints/sec
Datapoints: 33882, max. latency: 235.39 us, rate: 483.52 datapoints/sec
Datapoints: 34394, max. latency: 235.39 us, rate: 483.89 datapoints/sec
Datapoints: 34906, max. latency: 235.39 us, rate: 484.22 datapoints/sec
Datapoints: 35418, max. latency: 235.39 us, rate: 484.26 datapoints/sec
Datapoints: 35898, max. latency: 235.39 us, rate: 484.17 datapoints/sec
Datapoints: 36410, max. latency: 235.39 us, rate: 484.38 datapoints/sec
Datapoints: 36922, max. latency: 235.39 us, rate: 484.58 datapoints/sec
Datapoints: 37434, max. latency: 235.39 us, rate: 484.92 datapoints/sec
Datapoints: 37946, max. latency: 235.39 us, rate: 485.14 datapoints/sec
Datapoints: 38458, max. latency: 235.39 us, rate: 485.25 datapoints/sec
Datapoints: 38970, max. latency: 235.39 us, rate: 485.32 datapoints/sec
Datapoints: 39482, max. latency: 235.39 us, rate: 485.41 datapoints/sec
Datapoints: 39994, max. latency: 235.39 us, rate: 485.56 datapoints/sec
Datapoints: 40474, max. latency: 235.39 us, rate: 485.44 datapoints/sec
Datapoints: 40986, max. latency: 235.39 us, rate: 485.39 datapoints/sec
Datapoints: 41498, max. latency: 235.39 us, rate: 485.43 datapoints/sec
Datapoints: 42010, max. latency: 235.39 us, rate: 485.60 datapoints/sec
Datapoints: 42522, max. latency: 235.39 us, rate: 485.70 datapoints/sec
Datapoints: 43034, max. latency: 235.39 us, rate: 485.74 datapoints/sec
Datapoints: 43546, max. latency: 235.39 us, rate: 485.89 datapoints/sec
Datapoints: 44058, max. latency: 235.39 us, rate: 486.13 datapoints/sec
Datapoints: 44570, max. latency: 235.39 us, rate: 486.27 datapoints/sec
Datapoints: 45082, max. latency: 235.39 us, rate: 486.33 datapoints/sec
Datapoints: 45626, max. latency: 235.39 us, rate: 486.70 datapoints/sec
Datapoints: 46138, max. latency: 235.39 us, rate: 486.70 datapoints/sec
Datapoints: 46618, max. latency: 235.39 us, rate: 486.51 datapoints/sec
Datapoints: 47130, max. latency: 235.39 us, rate: 486.46 datapoints/sec
Datapoints: 47642, max. latency: 235.39 us, rate: 486.64 datapoints/sec
Datapoints: 48154, max. latency: 235.39 us, rate: 486.65 datapoints/sec
Datapoints: 48633, max. latency: 235.39 us, rate: 486.50 datapoints/sec
Datapoints: 49145, max. latency: 235.39 us, rate: 486.67 datapoints/sec
Datapoints: 49657, max. latency: 235.39 us, rate: 486.61 datapoints/sec
Datapoints: 50169, max. latency: 235.39 us, rate: 486.63 datapoints/sec
Datapoints: 50681, max. latency: 235.39 us, rate: 486.80 datapoints/sec
Datapoints: 51161, max. latency: 235.39 us, rate: 486.71 datapoints/sec
Datapoints: 51673, max. latency: 235.39 us, rate: 486.77 datapoints/sec
Datapoints: 52185, max. latency: 235.39 us, rate: 486.88 datapoints/sec
Datapoints: 52665, max. latency: 235.39 us, rate: 486.68 datapoints/sec
Datapoints: 53177, max. latency: 238.15 us, rate: 486.82 datapoints/sec
Datapoints: 53689, max. latency: 238.15 us, rate: 486.95 datapoints/sec
Datapoints: 54201, max. latency: 240.40 us, rate: 486.98 datapoints/sec
Datapoints: 54713, max. latency: 240.40 us, rate: 487.18 datapoints/sec
Datapoints: 55193, max. latency: 240.40 us, rate: 487.09 datapoints/sec
Datapoints: 55705, max. latency: 240.40 us, rate: 487.19 datapoints/sec
Datapoints: 56185, max. latency: 240.40 us, rate: 487.04 datapoints/sec
Datapoints: 56697, max. latency: 240.40 us, rate: 487.12 datapoints/sec
Datapoints: 57209, max. latency: 240.40 us, rate: 487.14 datapoints/sec
Datapoints: 57721, max. latency: 240.40 us, rate: 487.20 datapoints/sec
Datapoints: 58232, max. latency: 240.40 us, rate: 487.15 datapoints/sec
Datapoints: 58744, max. latency: 240.40 us, rate: 487.22 datapoints/sec
Datapoints: 59256, max. latency: 240.40 us, rate: 487.28 datapoints/sec
Datapoints: 59768, max. latency: 240.40 us, rate: 487.33 datapoints/sec
Datapoints: 60248, max. latency: 240.40 us, rate: 487.22 datapoints/sec
Datapoints: 60760, max. latency: 240.40 us, rate: 487.34 datapoints/sec
Datapoints: 61240, max. latency: 240.40 us, rate: 487.19 datapoints/sec
Datapoints: 61752, max. latency: 240.40 us, rate: 487.24 datapoints/sec
Datapoints: 62232, max. latency: 240.40 us, rate: 487.16 datapoints/sec
Datapoints: 62744, max. latency: 240.40 us, rate: 487.09 datapoints/sec
Datapoints: 63224, max. latency: 240.40 us, rate: 487.01 datapoints/sec
Datapoints: 63714, max. latency: 240.40 us, rate: 487.03 datapoints/sec
Datapoints: 64216, max. latency: 240.40 us, rate: 486.93 datapoints/sec
Datapoints: 64728, max. latency: 240.40 us, rate: 486.94 datapoints/sec
Datapoints: 65240, max. latency: 240.40 us, rate: 486.97 datapoints/sec
Datapoints: 65752, max. latency: 240.40 us, rate: 487.10 datapoints/sec
Datapoints: 66232, max. latency: 240.40 us, rate: 487.04 datapoints/sec
Datapoints: 66712, max. latency: 240.40 us, rate: 486.92 datapoints/sec
Datapoints: 67224, max. latency: 240.40 us, rate: 486.88 datapoints/sec
Datapoints: 67768, max. latency: 240.40 us, rate: 487.08 datapoints/sec
Datapoints: 68280, max. latency: 240.40 us, rate: 487.16 datapoints/sec
Datapoints: 68792, max. latency: 240.40 us, rate: 487.25 datapoints/sec
Datapoints: 69304, max. latency: 240.40 us, rate: 487.37 datapoints/sec
Datapoints: 69816, max. latency: 240.40 us, rate: 487.47 datapoints/sec
Datapoints: 70360, max. latency: 240.40 us, rate: 487.63 datapoints/sec
Datapoints: 70872, max. latency: 240.40 us, rate: 487.65 datapoints/sec
Datapoints: 71384, max. latency: 240.40 us, rate: 487.67 datapoints/sec
Datapoints: 71896, max. latency: 240.40 us, rate: 487.66 datapoints/sec
Datapoints: 72408, max. latency: 240.40 us, rate: 487.76 datapoints/sec
Datapoints: 72888, max. latency: 240.40 us, rate: 487.68 datapoints/sec
Datapoints: 73368, max. latency: 240.40 us, rate: 487.61 datapoints/sec
Datapoints: 73880, max. latency: 240.40 us, rate: 487.69 datapoints/sec
Datapoints: 74392, max. latency: 240.40 us, rate: 487.79 datapoints/sec
Datapoints: 74872, max. latency: 240.40 us, rate: 487.72 datapoints/sec
Datapoints: 75352, max. latency: 240.40 us, rate: 487.58 datapoints/sec
Datapoints: 75832, max. latency: 240.40 us, rate: 487.53 datapoints/sec
Datapoints: 76344, max. latency: 240.40 us, rate: 487.60 datapoints/sec
Datapoints: 76824, max. latency: 240.40 us, rate: 487.42 datapoints/sec
